from_address,f0_,f1_,tx_count
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-06,7303785035822843822.843822844,2145
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-10,7014970725335570469.798657718,2384
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-31,10341623716429809358.752166378,1731
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-09,4933658338378414038.791397282,7579
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-24,23402746856486117432.862994993,2197
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-20,7718379198895663956.639566396,1476
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-01,6877139374208350558.081852005,2419
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-27,23833158761898263027.29528536,1612
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-28,8092789320552901023.890784983,1465
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-15,19813474518034769463.340891912,1323
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-10,8621195297761492338.441039307,3002
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-01,4840379852862961188.308576905,4174
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-13,6535150889774127310.061601643,1948
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-27,7996992317846735024.284943335,1853
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-21,8484901005365703749.231714813,1627
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-22,11896788207478932584.269662921,1424
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-07,6610514424251870324.189526185,2406
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-09,8481501329673228346.456692913,2540
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-07,707561643472222222.222222222,216
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-08,6596128024005774088.77661494,2771
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-13,3968750524862591138.530566461,1783
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-21,8021629252612699951.526902569,2063
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-19,12716786347452651515.151515152,2112
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-20,19437884756454589606.60514813,2059
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-25,12043854012551299589.603283174,1462
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-18,13757897935745131244.707874682,2362
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-23,15933597289350348027.842227378,1724
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-17,7612331782479815455.594002307,1734
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-04,4631743114173967459.324155194,1598
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-08,3764475082849375101.444570687,12322
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-12,5923937726644273832.373640435,3126
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-01,8423073938739495798.319327731,1666
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-01,10951284256824146981.627296588,1524
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-16,3889804308741862225.58667676,13210
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-24,18585143275828025477.707006369,1570
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-17,3936042922543527630.582891749,1321
